Carpeta,Tabla,Espectro,Pigmento,Aglutinante,Base de preparación
Tablas1,C2,E200001.asd,Betun de Judea,aceite de nuez,carbonato de calcio
Tablas1,C2,E200002.asd,Betun de Judea,aceite de nuez,carbonato de calcio
Tablas1,C2,E300000.asd,Betun de Judea,yema de huevo,carbonato de calcio
Tablas1,C2,E300001.asd,Betun de Judea,yema de huevo,carbonato de calcio
Tablas1,C2,E300002.asd,Betun de Judea,yema de huevo,carbonato de calcio
Tablas1,C2,E400000.asd,Betun de Judea,cola de conejo,carbonato de calcio
Tablas1,C2,E400001.asd,Betun de Judea,cola de conejo,carbonato de calcio
Tablas1,C2,E400002.asd,Betun de Judea,cola de conejo,carbonato de calcio
Tablas1,C2,E500000.asd,Betun de Judea,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C2,E500001.asd,Betun de Judea,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C2,E500002.asd,Betun de Judea,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C3,A100003.asd,Cinabrio,Aceite de linaza,carbonato de calcio
Tablas1,C3,A100004.asd,Cinabrio,Aceite de linaza,carbonato de calcio
Tablas1,C3,A100005.asd,Cinabrio,Aceite de linaza,carbonato de calcio
Tablas1,C3,A200000.asd,Cinabrio,aceite de nuez,carbonato de calcio
Tablas1,C3,A200001.asd,Cinabrio,aceite de nuez,carbonato de calcio
Tablas1,C3,A200002.asd,Cinabrio,aceite de nuez,carbonato de calcio
Tablas1,C3,A300000.asd,Cinabrio,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C3,A300001.asd,Cinabrio,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C3,A300002.asd,Cinabrio,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C3,A400000.asd,Cinabrio,cola de conejo,carbonato de calcio
Tablas1,C3,A400001.asd,Cinabrio,cola de conejo,carbonato de calcio
Tablas1,C3,A400002.asd,Cinabrio,cola de conejo,carbonato de calcio
Tablas1,C3,A500000.asd,Cinabrio,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C3,A500001.asd,Cinabrio,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C3,A500002.asd,Cinabrio,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C3,B100000.asd,Almagre,Aceite de linaza,carbonato de calcio
Tablas1,C3,B100001.asd,Almagre,Aceite de linaza,carbonato de calcio
