Wavelength	5d.001
830	 0.296630054712296 
831	 0.296681076288223 
832	 0.296843409538269 
833	 0.296956151723862 
834	 0.296979069709778 
835	 0.296970009803772 
836	 0.297096997499466 
837	 0.29710853099823 
838	 0.297091275453568 
839	 0.297139495611191 
840	 0.297110885381699 
841	 0.297159820795059 
842	 0.29725655913353 
843	 0.297307670116425 
844	 0.297316819429398 
845	 0.297332674264908 
846	 0.297323346138 
847	 0.297227203845978 
848	 0.297276765108109 
849	 0.297332376241684 
850	 0.297307640314102 
851	 0.297238200902939 
852	 0.29699033498764 
853	 0.296833425760269 
854	 0.296902000904083 
855	 0.296879142522812 
856	 0.29685240983963 
857	 0.296772867441177 
858	 0.29662236571312 
859	 0.296618193387985 
860	 0.296565562486649 
861	 0.296494096517563 
862	 0.296501129865646 
863	 0.296341717243195 
864	 0.296108335256577 
865	 0.295895457267761 
866	 0.295776814222336 
867	 0.295844882726669 
868	 0.295865923166275 
869	 0.295739769935608 
870	 0.295610457658768 
871	 0.295413047075272 
872	 0.295188426971436 
873	 0.294989794492722 
874	 0.294847279787064 
875	 0.294726014137268 
876	 0.294687569141388 
877	 0.294725984334946 
878	 0.294510811567307 
879	 0.294243842363358 
880	 0.293997049331665 
881	 0.293788969516754 
882	 0.293734282255173 
883	 0.293668270111084 
884	 0.293498247861862 
885	 0.2932248711586 
886	 0.292981147766113 
887	 0.292728096246719 
888	 0.292514353990555 
889	 0.292487025260925 
890	 0.292363345623016 
891	 0.292211711406708 
892	 0.292072147130966 
893	 0.291826099157333 
894	 0.291597902774811 
895	 0.291377305984497 
896	 0.291118144989014 
897	 0.290759384632111 
898	 0.290542483329773 
899	 0.290449053049088 
900	 0.290343821048737 
901	 0.290057748556137 
902	 0.289765268564224 
903	 0.289521425962448 
904	 0.289299160242081 
905	 0.289019733667374 
906	 0.288739234209061 
907	 0.288445979356766 
908	 0.28810328245163 
909	 0.28790408372879 
910	 0.287757784128189 
911	 0.287558436393738 
912	 0.287237375974655 
913	 0.286925792694092 
914	 0.286688357591629 
915	 0.286433696746826 
916	 0.28590601682663 
917	 0.285496979951859 
918	 0.285206854343414 
919	 0.28492933511734 
920	 0.284526169300079 
921	 0.284397095441818 
922	 0.284299045801163 
923	 0.283978760242462 
924	 0.283603996038437 
925	 0.283206611871719 
926	 0.282778948545456 
927	 0.282326698303223 
928	 0.281952500343323 
929	 0.281656086444855 
930	 0.281380832195282 
931	 0.281072735786438 
932	 0.280807882547379 
933	 0.280519783496857 
934	 0.280131310224533 
935	 0.279621601104736 
936	 0.279250115156174 
937	 0.278856128454208 
938	 0.278433412313461 
939	 0.278064459562302 
940	 0.277542382478714 
941	 0.277064204216003 
942	 0.276697844266891 
943	 0.276350975036621 
944	 0.275858491659164 
945	 0.275412052869797 
946	 0.275035321712494 
947	 0.274562984704971 
948	 0.274281948804855 
949	 0.274086683988571 
950	 0.273792654275894 
951	 0.273237347602844 
952	 0.272793859243393 
953	 0.272575378417969 
954	 0.272468984127045 
955	 0.272142559289932 
956	 0.271918416023254 
957	 0.271688908338547 
958	 0.271371364593506 
959	 0.27107560634613 
960	 0.270814299583435 
961	 0.270646214485168 
962	 0.270589351654053 
963	 0.270574063062668 
964	 0.27053701877594 
965	 0.270352244377136 
