Wavelength	2e.000
500	 5.28535731136799E-02 
501	 5.27804344892502E-02 
502	 5.27642071247101E-02 
503	 5.27041777968407E-02 
504	 5.28562851250172E-02 
505	 5.29739111661911E-02 
506	 5.28977140784264E-02 
507	 5.28901293873787E-02 
508	 5.28943501412869E-02 
509	 5.29167726635933E-02 
510	 5.29730767011642E-02 
511	 5.29884770512581E-02 
512	 5.29523007571697E-02 
513	 5.29330968856812E-02 
514	 5.30940145254135E-02 
515	 5.30748292803764E-02 
516	 5.30083142220974E-02 
517	 5.30807264149189E-02 
518	 5.32037727534771E-02 
519	 5.31928725540638E-02 
520	 5.31412549316883E-02 
521	 5.33008500933647E-02 
522	 5.33394068479538E-02 
523	 5.33181801438332E-02 
524	 5.33343739807606E-02 
525	 5.34587502479553E-02 
526	 5.34499511122704E-02 
527	 5.34349754452705E-02 
528	 5.35982735455036E-02 
529	 5.36405481398106E-02 
530	 5.36503195762634E-02 
531	 5.36843612790108E-02 
532	 5.37388026714325E-02 
533	 5.38342595100403E-02 
534	 5.39240911602974E-02 
535	 5.39810322225094E-02 
536	 5.40773086249828E-02 
537	 5.41706793010235E-02 
538	 5.42497001588345E-02 
539	 5.43248318135738E-02 
540	 5.44339492917061E-02 
541	 5.45423701405525E-02 
542	 5.46506494283676E-02 
543	 5.48360496759415E-02 
544	 5.49450553953648E-02 
545	 0.055024616420269 
546	 5.51574490964413E-02 
547	 5.52764981985092E-02 
548	 5.54366819560528E-02 
549	 5.56169077754021E-02 
550	 5.57323172688484E-02 
551	 5.59027306735516E-02 
552	 5.61252050101757E-02 
553	 0.056359525769949 
554	 5.65259642899036E-02 
555	 5.67374266684055E-02 
556	 5.70016503334045E-02 
557	 5.72773851454258E-02 
558	 5.75630702078342E-02 
559	 5.79397119581699E-02 
560	 5.83869181573391E-02 
561	 5.87370321154594E-02 
562	 5.90980052947998E-02 
563	 5.95071688294411E-02 
564	 5.99728971719742E-02 
565	 6.04795478284359E-02 
566	 6.09507523477077E-02 
567	 6.14245645701885E-02 
568	 6.20133429765701E-02 
569	 6.26058652997017E-02 
570	 0.063246488571167 
571	 6.39577955007553E-02 
572	 6.46646171808243E-02 
573	 6.54272511601448E-02 
574	 6.61990121006966E-02 
575	 6.69237598776817E-02 
576	 6.77318572998047E-02 
577	 6.85782507061958E-02 
578	 6.94356337189674E-02 
579	 7.03106075525284E-02 
580	 7.12491795420647E-02 
581	 7.22698122262955E-02 
582	 7.33521729707718E-02 
583	 7.43603780865669E-02 
584	 7.54803195595741E-02 
585	 7.67031237483025E-02 
586	 7.79087245464325E-02 
587	 7.91426822543144E-02 
588	 8.03885236382484E-02 
589	 8.16369280219078E-02 
590	 8.28879177570343E-02 
591	 8.42013880610466E-02 
592	 0.085569366812706 
593	 8.69494304060936E-02 
594	 8.82465690374374E-02 
595	 0.089572474360466 
596	 9.09334719181061E-02 
597	 9.22364071011543E-02 
598	 9.35178175568581E-02 
599	 9.48312357068062E-02 
600	 0.096181184053421 
601	 9.74242687225342E-02 
602	 9.87463518977165E-02 
603	 0.100079901516438 
604	 0.101277619600296 
605	 0.102485783398151 
606	 0.103681616485119 
607	 0.104858547449112 
608	 0.106042705476284 
609	 0.10717336833477 
610	 0.108247272670269 
611	 0.109276175498962 
612	 0.110245287418365 
613	 0.111216709017754 
614	 0.112170912325382 
615	 0.113047696650028 
616	 0.113945044577122 
617	 0.11480525135994 
618	 0.115607559680939 
619	 0.116436704993248 
620	 0.117226347327232 
621	 0.117969535291195 
622	 0.118683010339737 
623	 0.119395643472672 
624	 0.120097510516644 
625	 0.120759315788746 
626	 0.121344313025475 
627	 0.121974736452103 
628	 0.122617967426777 
629	 0.12322436273098 
630	 0.123776130378246 
631	 0.124335803091526 
632	 0.12489116191864 
633	 0.125405520200729 
634	 0.125945344567299 
635	 0.126472741365433 
636	 0.126984000205994 
637	 0.127526447176933 
638	 0.128017544746399 
639	 0.128480732440948 
640	 0.128957882523537 
641	 0.129458457231522 
642	 0.12994872033596 
643	 0.130433350801468 
644	 0.130940690636635 
645	 0.131464675068855 
646	 0.13198746740818 
647	 0.132490441203117 
648	 0.132953315973282 
649	 0.133486703038216 
650	 0.134022086858749 
651	 0.134479314088821 
652	 0.134980797767639 
653	 0.135473906993866 
654	 0.135983437299728 
655	 0.136587336659431 
656	 0.137149065732956 
657	 0.137697145342827 
658	 0.138268917798996 
659	 0.138864308595657 
660	 0.139447242021561 
661	 0.14002913236618 
662	 0.140635147690773 
663	 0.141259267926216 
664	 0.141872584819794 
665	 0.142480999231339 
666	 0.143125250935555 
667	 0.143802583217621 
668	 0.144488781690598 
669	 0.145161658525467 
670	 0.14581011235714 
671	 0.146535471081734 
672	 0.147289052605629 
673	 0.147980764508247 
674	 0.148753613233566 
675	 0.149545088410378 
676	 0.150312185287476 
677	 0.151058599352837 
678	 0.151769265532494 
679	 0.152560099959373 
680	 0.153487116098404 
681	 0.154344648122787 
682	 0.155144691467285 
683	 0.155964538455009 
684	 0.15689355134964 
685	 0.157787263393402 
686	 0.158666089177132 
687	 0.159560531377792 
688	 0.16049200296402 
689	 0.161442890763283 
690	 0.162386178970337 
691	 0.163307964801788 
692	 0.164238169789314 
693	 0.165211856365204 
694	 0.166245728731155 
695	 0.167326778173447 
696	 0.168326675891876 
697	 0.169260665774345 
698	 0.170193031430244 
699	 0.171232685446739 
700	 0.172307327389717 
701	 0.173353642225266 
702	 0.174348324537277 
703	 0.175403878092766 
704	 0.176460966467857 
705	 0.177482023835182 
706	 0.178460150957108 
707	 0.179510653018951 
708	 0.180569171905518 
709	 0.181588470935822 
710	 0.182585671544075 
711	 0.183657273650169 
712	 0.184704065322876 
713	 0.185629531741142 
714	 0.186599671840668 
715	 0.187608808279037 
716	 0.188624903559685 
717	 0.189598187804222 
718	 0.190488561987877 
719	 0.19134683907032 
720	 0.192204058170319 
721	 0.193028911948204 
722	 0.193901911377907 
723	 0.194773778319359 
724	 0.195572659373283 
725	 0.196312665939331 
726	 0.197048977017403 
727	 0.197771698236465 
728	 0.198429614305496 
729	 0.199068814516068 
730	 0.199651151895523 
731	 0.200175493955612 
732	 0.200719252228737 
733	 0.201213851571083 
734	 0.201674446463585 
735	 0.202120557427406 
736	 0.202491506934166 
737	 0.202842235565186 
738	 0.203134417533875 
739	 0.203291684389114 
740	 0.20349957048893 
741	 0.203722685575485 
742	 0.203885897994041 
743	 0.203899577260017 
744	 0.203942984342575 
745	 0.20399808883667 
746	 0.203992560505867 
747	 0.203862011432648 
748	 0.203757226467133 
749	 0.203655883669853 
750	 0.203444823622704 
751	 0.203164711594582 
752	 0.202904149889946 
753	 0.202675580978394 
754	 0.202388644218445 
755	 0.202016279101372 
756	 0.201586410403252 
757	 0.201145246624947 
758	 0.200746580958366 
759	 0.200316593050957 
760	 0.199830651283264 
761	 0.199300482869148 
762	 0.198798343539238 
763	 0.198219567537308 
764	 0.197579145431519 
