Wavelength	A00133.asd
783	 1.03152323128501 
784	 1.03119258629848 
785	 1.03153953742696 
786	 1.03209932046883 
787	 1.03138069990098 
788	 1.03021273836579 
789	 1.03026097326107 
790	 1.03135307622339 
791	 1.03117948034198 
792	 1.03133254490704 
793	 1.03213871776737 
794	 1.03314359791347 
795	 1.03258092381109 
796	 1.03228423024708 
797	 1.03246047057478 
798	 1.03266728226121 
799	 1.03252748924984 
800	 1.03228766384071 
801	 1.03205762983919 
802	 1.03188607881778 
803	 1.03261852031268 
804	 1.03292036517424 
805	 1.03241775568341 
806	 1.03259470008373 
807	 1.03263986566506 
808	 1.03288119223863 
809	 1.03334363594837 
810	 1.03223291890972 
811	 1.03204934369568 
812	 1.0329727013823 
813	 1.03392227512909 
814	 1.03348389491668 
815	 1.03380310405327 
816	 1.0346214655454 
817	 1.03365217853715 
818	 1.03331789016202 
819	 1.03341418530033 
820	 1.03340729848669 
821	 1.03290138531592 
822	 1.03303329031374 
823	 1.03366209725731 
824	 1.03428095891196 
825	 1.03444118873347 
826	 1.03490690367882 
827	 1.03517858938594 
828	 1.03455381020331 
829	 1.03472226036885 
830	 1.03481649607846 
831	 1.03472441139118 
832	 1.03503121926289 
833	 1.03483625217165 
834	 1.03478883137551 
835	 1.03495756974949 
836	 1.0342002103482 
837	 1.03501306296079 
838	 1.03579531658956 
839	 1.03518609297119 
840	 1.03553267747625 
841	 1.03577656993965 
842	 1.03540730604535 
843	 1.03456501203653 
844	 1.03547212915398 
845	 1.03578512297799 
846	 1.03540930773304 
847	 1.03583906804523 
848	 1.03547627660895 
849	 1.03554558237395 
850	 1.03628158067282 
851	 1.03631200709021 
852	 1.03512241387237 
853	 1.03439169628509 
854	 1.03515766807122 
855	 1.03617517361517 
856	 1.0363526611876 
857	 1.03591236059829 
858	 1.03549878748029 
859	 1.03525914658842 
860	 1.03540842127707 
861	 1.03601935480102 
862	 1.03683905042415 
863	 1.03643805321414 
864	 1.0357725425961 
865	 1.0353957158151 
866	 1.03532844591768 
867	 1.03574491694222 
868	 1.03622018921283 
869	 1.03639754101782 
870	 1.0361692959443 
871	 1.0358150170284 
872	 1.0358658609922 
873	 1.03645934633643 
874	 1.03682752335739 
875	 1.03690787087812 
876	 1.03620828912809 
877	 1.03495353411445 
878	 1.0361664372112 
879	 1.03693076572201 
880	 1.03675596339889 
881	 1.0364476879905 
882	 1.03629957022988 
883	 1.03659755163809 
884	 1.0369920759484 
885	 1.0367775819129 
886	 1.03647877243125 
887	 1.0361925156801 
888	 1.0362595320274 
889	 1.037215251283 
890	 1.03755067548728 
891	 1.03746547448632 
892	 1.03733199273018 
893	 1.03722984668153 
894	 1.03624697912317 
895	 1.03611619873381 
896	 1.03769192551864 
897	 1.03798709198255 
898	 1.03711186363099 
899	 1.03667454596184 
900	 1.03770359073496 
901	 1.03667706350384 
902	 1.036669368415 
903	 1.03740264633978 
904	 1.03722490354241 
905	 1.0372344947964 
906	 1.03757974402534 
907	 1.03786775982366 
